,name,Price
60,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 61.44
61,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00
62,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
63,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 33.60
64,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 268.18
65,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00
66,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 29.00
67,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 49.00
68,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 37.00
69,Lenovo LP40 Bluetooth 5.0 True Wireless Sport Headset -  White,GH₵ 65.00
70,P47 Wireless Foldable Bluetooth Headset -   Black,GH₵ 28.00
71,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 36.00
72,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 53.76
73,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
74,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 37.00
75,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 49.00
76,Oraimo OPB-P204D 20000mAh High Capacity Dual USB Output,GH₵ 102.38
77,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 53.76
78,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 37.00
79,Pro 6 Bluetooth Earphone - White,GH₵ 49.00
80,116Plus Digital Smart Watch 116 Plus- Black,GH₵ 35.00
81,Samsung Micro SD Memory Card - 64GB - Red/White,GH₵ 48.00
82,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 168.96
83,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98
84,MicroSDHC Card – 64GB Black,GH₵ 46.50
85,Color Screen Smart Bracelet Waterproof Bracelet,GH₵ 48.00
86,Wireless Bluetooth Earphone Earbuds HIFI Stereo Touch Sensor For Samsung IPhone Xiaomi Huawei,GH₵ 58.00
87,"Universal 30,000mAh Inbuilt 3 in 1USB cable Powerbank - White",GH₵ 75.85
88,Lots of Function Waterproof smart watch-Light Pink,GH₵ 77.76
89,Lenovo XT92 Gaming Headset Low Latency Touch Bluetooth 5.1 Headset HiFi Stereo black,GH₵ 71.00
90,Itel It 2173 Dual SIM Feature Phone - 512MB ROM - 512MB RAM - Blue,GH₵ 86.33
91,"X Tigi T1 Mini - 1.77"" - Dual SIM Cell Phone - 32MB HDD- 32MB RAM - Blue",GH₵ 88.00
92,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 121.00
93,Itel 2160 Dual SIM Cell Phone - 32MB ROM‎ - 32 MB RAM - Dark Blue,GH₵ 90.00
94,Nokia 110 (2019 Edition) Dual SIM Feature Phone - Black,GH₵ 180.38
95,Samsung B310E Dual SIM (SM-B310E) - Blue/Black,GH₵ 189.00
96,Tecno T301 Dual SIM - 4MB HDD - 4MB RAM - Gold + Free Extra Battery,GH₵ 130.00
97,Nokia 105 Dual SIM 4th Generation  - 32MB ROM‎ - 4MB RAM Cell Phone - Black + Free 3310 Phone,GH₵ 210.00
98,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 142.00
99,Itel 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 98.00
100,Bontel Dual SIM Phone with FM Radio + FREE P47 Headphone  - Black/Multicolour,GH₵ 94.00
101,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 115.00
102,Nokia 105 (4th Edition) Dual SIM Cell Phone - Blue,GH₵ 121.00
103,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 159.00
104,Itel It 5606 Dual SIM - 4MB ROM - 4MB RAM - 2500mAh - Dark Blue,GH₵ 80.00
105,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 61.44
106,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00
107,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
108,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 33.60
109,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 268.18
110,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00
