,Product Name,Price,Product Link
40,Itel A56 (2020) - 16GB HDD - 1GB RAM - 4000mAh - Blue,GH₵ 390.00,/a56-2020-16gb-hdd-1gb-ram-4000mah-blue-itel-mpg439060.html
41,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00,/tcl-20e-dual-sim-32gb-3gb-ram-smartphone-blue-31316969.html
42,X Tigi A10C  6.3'' - 32GB HDD - 2GB RAM - Fingerprint - Black,GH₵ 449.00,/x-tigi-a10c-6.3-32gb-hdd-2gb-ram-fingerprint-black-37739952.html
43,Itel P37 Dual Sim  - 32GB ROM - 2GB RAM Smartphone - Black,GH₵ 520.00,/p37-dual-sim-32gb-rom-2gb-ram-smartphone-black-itel-mpg449601.html
44,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black/Green,GH₵ 383.04,/tcl-l7-smartphone-32gb-hdd-2gb-ram-blackgreen-37675352.html
45,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 60.45,/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-black-22654156.html
46,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00,/generic-fingerprint-touch-noise-cancelling-stereo-bluetooth-headset-black-31815088.html
47,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 34.00,/generic-tripod-mobile-phone-camera-foldable-stand-holder-table-smartphone-tripod-16841886.html
48,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00,/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-black-41951199.html
49,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 52.80,/lenovo-xt90-in-ear-earphones-5.0-headphones-true-wireless-earbuds-with-touch-control-20914250.html
50,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00,/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-white-22654157.html
51,P47 Wireless Headset - White,GH₵ 29.47,/wireless-headset-white-p47-mpg454476.html
52,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 16.74,/generic-universal-adjustable-desktop-tablet-stands-phone-holder-bracket-for-ipad-phone-tablet-stand-mount-30100742.html
53,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00,/generic-c3-bluetooth-5.0-wireless-headsets-10d-stereo-headphones-with-led-sports-earphone-pro3-33321072.html
54,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80,/wireless-bluetooth-earphones-white-tws-mpg430467.html
55,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00,/wireless-bluetooth-headset-with-fm-radio-feature-black-p47-mpg440772.html
56,Smart Bluetooth watches for ios and Android bands,GH₵ 30.00,/generic-smart-bluetooth-watches-for-ios-and-android-bands-31659428.html
57,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00,/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-black-22600679.html
58,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 33.00,/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-white-22600678.html
59,Lenovo XT90 BT5.0 True Wireless Headsets In-ear Sweatproof white,GH₵ 55.00,/lenovo-xt90-bt5.0-true-wireless-headsets-in-ear-sweatproof-white-32161465.html
60,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00,/micro-sd-memory-card-32gb-black-generic-mpg429117.html
61,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98,/tws-i12tws-wireless-bluetooth-5.0-sport-headset-white-19852625.html
62,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80,/wireless-bluetooth-earphones-white-tws-mpg430467.html
63,P47 Top Model Wireless Bluetooth Headset with FM - Black,GH₵ 33.00,/top-model-wireless-bluetooth-headset-with-fm-black-p47-mpg443896.html
64,Lenovo LP40 Bluetooth 5.0  Touch Control Waterproof Earphone headset - White,GH₵ 65.00,/lenovo-lp40-bluetooth-5.0-touch-control-waterproof-earphone-headset-white-20560302.html
65,Pocket Size 3 in 1 Inbuilt USB Cable With LED Display Powerbank - 20000mAh - White,GH₵ 60.00,/portable-power-bank-30000mah-black-white-label-mpg430772.html
66,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00,/generic-smart-watch-with-camera-sim-card-slot-black-15811084.html
67,"116 Plus Smart Watch - 1.3"" Black",GH₵ 36.00,/generic-116-plus-smart-watch-1.3-black-13686282.html
68,"Universal 30,000mAh Inbuilt 3 in 1USB cable Powerbank - White",GH₵ 82.00,/universal-30000mah-inbuilt-3-in-1usb-cable-powerbank-white-22123121.html
